partition,output
0.001313782116508928,Anchor|IL|61720|40.5441|-88.5266|236
0.001314546513907203,Berino|NM|88024|32.0682|-106.631|236
0.001315310911305478,Fishers Island|NY|06390|41.2639|-72.0178|236
0.001316075308703753,Wahpeton|ND|58076|46.2718|-96.6081|9512
0.0013168429450740545,Dayton|NY|14041|42.4086|-78.9844|237
0.001317610581444356,Garland|KS|66741|37.7175|-94.6613|237
0.0013183782178146576,Fairwater|WI|53931|43.7475|-88.8665|237
0.0013191458541849592,Conroy|IA|52220|41.7354|-92.0102|237
0.0013199134905552607,Basin|MT|59631|46.3296|-112.1967|237
0.0013206811269255623,Oral|SD|57766|43.3876|-103.1832|237
0.0013214487632958638,Elliott|SC|29046|34.16|-80.241|237
0.0013222163996661654,Williamsport|KY|41271|37.8313|-82.7264|237
0.001322984036036467,Lindrith|NM|87029|36.3249|-107.0495|237
0.0013237516724067685,Barton|OH|43905|40.1074|-80.8444|237
0.00132451930877707,Leckrone|PA|15454|39.9321|-79.6522|237
0.0013252869451473716,Proctor|MT|59929|47.9404|-114.3832|237
0.0013260545815176731,Keo|AR|72083|34.6041|-92.0078|237
0.0013268222178879747,Atqasuk|AK|99791|70.4947|-157.4411|237
0.0013275930932303028,Fleming|PA|16835|40.9046|-77.8752|238
0.001328363968572631,Clarence|LA|71414|31.8158|-93.0171|238
0.001329134843914959,Columbia|IA|50057|41.1838|-93.1582|238
0.0013299057192572871,Cossayuna|NY|12823|43.1751|-73.4124|238
0.0013306765945996152,Flynn|TX|77855|31.1593|-96.1234|238
0.0013314474699419434,Medora|ND|58645|46.9387|-103.5632|238
0.0013322183452842715,Arco|MN|56113|44.4091|-96.1999|238
0.0013329892206265996,Piqua|KS|66761|37.8728|-95.59|238
0.0013337600959689277,Massey|MD|21650|39.3126|-75.8215|238
0.0013345309713112558,Adams|KY|41201|38.0741|-82.7447|238
0.001335301846653584,Higginsport|OH|45131|38.7903|-83.9666|238
0.001336072721995912,Forest Junction|WI|54123|44.2111|-88.1515|238
0.0013368435973382402,Kipton|OH|44049|41.2664|-82.3064|238
0.0013376144726805683,San Isidro|TX|78588|26.7342|-98.4819|238
0.0013383853480228964,Wauconda|WA|98859|48.8224|-118.9469|238
0.0013391562233652245,Hanover|ME|04237|44.4959|-70.7167|238
0.0013399270987075526,Greenville|IA|51343|43.0333|-95.0582|238
0.0013406979740498808,Arapahoe|CO|80802|38.8417|-102.194|238
0.0013414720883642354,Big Bar|CA|96010|40.748|-123.229|239
0.0013422462026785901,Kaktovik|AK|99747|66.6933|-153.994|239
0.0013430203169929448,Ashby|NE|69333|41.9776|-101.9636|239
0.0013437944313072995,Empire|NV|89405|40.6132|-119.3485|239
0.0013445685456216542,Pollock|MO|63560|40.3385|-93.1115|239
0.0013453426599360089,Allentown|NY|14707|42.0737|-78.0594|239
0.0013461167742503635,Mossville|IL|61552|40.818|-89.568|239
0.0013468908885647182,Grady|NM|88120|34.8107|-103.298|239
0.001347665002879073,Missouri City|MO|64072|39.2458|-94.2924|239
0.0013484391171934276,Ovando|MT|59854|47.0067|-113.0905|239
0.0013492132315077823,Cecil|GA|31627|31.0403|-83.3915|239
0.001349987345822137,Methow|WA|98834|48.1171|-120.0891|239
0.0013507646991085182,Shaw Island|WA|98286|48.5578|-122.9837|240
0.0013515420523948995,Ludlow|PA|16333|41.7428|-78.7873|240
0.0013523194056812807,Axtell|UT|84621|39.0532|-111.8243|240
0.001353096758967662,Comstock|NE|68828|41.5553|-99.2753|240
0.0013538741122540432,Bairdford|PA|15006|40.4931|-79.9031|240
0.0013546514655404245,Bigler|PA|16825|40.99|-78.3606|240
0.0013554288188268057,South Lee|MA|01260|42.2866|-73.3133|240
0.001356206172113187,Dayton|OH|45428|39.7467|-84.2593|479994
0.0013569835253995682,Weimar|CA|95736|39.0375|-120.9713|240
0.0013577608786859495,De Witt|MO|64639|39.384|-93.2238|240
0.0013585382319723307,Mizpah|MN|56660|47.9495|-94.1467|240
0.001359315585258712,Newhall|WV|24866|37.3752|-81.6539|240
0.0013600929385450932,Dodge|WI|54625|44.1431|-91.5204|240
0.0013608702918314745,Verona|ND|58490|46.3712|-98.0895|240
0.0013616476451178557,Kelly|WY|83011|43.6094|-110.5442|240
0.001362424998404237,Ludlow|MO|64656|39.6551|-93.7046|240
0.0013632023516906182,Elmer City|WA|99124|48.0154|-118.9549|240
0.0013639797049769995,Okreek|SD|57563|43.3633|-100.3809|240
0.0013647602972354075,Carleton|NE|68326|40.3005|-97.6719|241
0.0013655408894938156,Redford|MO|63665|37.3272|-91.0243|241
0.0013663214817522236,Liberty Hill|SC|29074|34.457|-80.7892|241
0.0013671020740106316,Cherryville|PA|18035|40.751|-75.5394|241
0.0013678826662690397,Nelliston|NY|13410|42.9379|-74.6117|241
0.0013686632585274477,Lankin|ND|58250|48.2952|-98.007|241
0.0013694438507858557,Donnybrook|ND|58734|48.49|-101.896|241
0.0013702244430442638,Dunlo|PA|15930|40.2939|-78.7192|241
0.0013710050353026718,Hardtner|KS|67057|37.03|-98.6547|241
0.0013717856275610799,Toddville|MD|21672|38.2726|-76.0596|241
0.001372566219819488,Hilger|MT|59451|47.2695|-109.4562|241
0.001373346812077896,Joplin|MT|59531|48.6498|-110.7914|241
0.001374127404336304,Manville|WY|82227|42.73|-104.7024|241
0.0013749112355667386,Esmond|IL|60129|42.0225|-88.9439|242
0.0013756950667971732,Uvalde|TX|78802|29.2237|-99.7794|22022
0.0013764788980276078,Retsof|NY|14539|42.8343|-77.8779|242
0.0013772627292580424,Mchenry|ND|58464|47.5604|-98.5726|242
0.001378046560488477,Covington|MI|49919|46.5265|-88.5846|242
0.0013788303917189116,Akron|IA|51001|42.8354|-96.5224|2432
0.0013796142229493462,Ottawa|WV|25149|37.9971|-81.717|242
0.0013803980541797808,Esbon|KS|66941|39.7562|-98.4462|242
0.0013811818854102154,Hagarville|AR|72839|35.6155|-93.2726|242
0.00138196571664065,Snow|OK|74567|34.4419|-95.4622|242
0.0013827495478710846,Dolliver|IA|50531|43.4664|-94.6242|242
0.0013835333791015192,Lake Huntington|NY|12752|41.6782|-74.9949|242
0.0013843172103319538,Tarlton|OH|43156|39.5535|-82.7763|242
0.0013851010415623884,Avalon|TX|76623|32.2214|-96.7832|242
0.001385884872792823,Woody Creek|CO|81656|39.2831|-106.8985|242
0.0013866687040232576,Catron|MO|63833|36.6876|-89.7706|242
0.0013874557742257188,Louviers|CO|80131|39.4764|-105.0075|243
0.00138824284442818,Leonardsville|NY|13364|42.9545|-75.6168|243
0.0013890299146306411,Saxis|VA|23427|37.9264|-75.722|243
0.0013898169848331023,Sainte Marie|IL|62459|38.928|-88.0291|243
0.0013906040550355635,Maury|NC|28554|35.4999|-77.651|243
0.0013913911252380247,La Place|IL|61936|39.7983|-88.7272|243
0.0013921781954404858,Monument|NM|88265|32.5874|-103.2703|243
0.001392965265642947,Aladdin|WY|82710|44.7473|-104.1931|243
0.0013937523358454082,Rush Hill|MO|65280|39.2115|-91.7087|243
0.0013945394060478694,Carter|MT|59420|47.781|-110.9786|243
0.0013953264762503305,Union Star|KY|40171|37.9616|-86.4615|243
0.0013961135464527917,Swan|IA|50252|41.4636|-93.301|243
0.0013969006166552529,Montcalm|WV|24737|37.3539|-81.2518|243
0.001397687686857714,Fine|NY|13639|44.2541|-75.1379|243
0.0013984747570601752,Inman|NE|68742|42.3761|-98.5384|243
0.0013992618272626364,Edison|NE|68936|40.2802|-99.786|243
0.0014000488974650976,Rutland|ND|58067|46.0738|-97.5483|243
0.0014008359676675587,Goodnews Bay|AK|99589|60.3147|-163.1189|243
0.00140162303787002,Watton|MI|49970|46.5413|-88.6049|243
0.0014024133470445076,Isaban|WV|24846|37.3752|-81.6539|244
0.0014032036562189954,Nilwood|IL|62672|39.398|-89.8045|244
0.0014039939653934831,Kingston|WI|53939|43.6911|-89.1302|244
0.0014047842745679709,Latham|KS|67072|37.531|-96.6791|244
0.0014055745837424586,Leonard|MO|63451|39.9076|-92.1947|244
0.0014063648929169463,Holland|MO|63853|36.093|-89.8311|244
0.001407155202091434,Keene|VA|22946|37.856|-78.5699|244
0.0014079455112659218,Mertens|TX|76666|32.0275|-96.8981|244
0.0014087358204404096,Sheldahl|IA|50243|41.8571|-93.6973|244
0.0014095261296148973,Bradley|SD|57217|45.0751|-97.6387|244
0.001410316438789385,Mc Ewensville|PA|17749|41.072|-76.8184|244
0.0014111067479638728,Salvo|NC|27972|35.5546|-75.4693|244
0.0014118970571383605,Fairfax|SD|57335|43.0351|-98.8308|244
0.0014126873663128483,Burkettsville|OH|45310|40.3541|-84.6435|244
0.001413477675487336,Dayville|OR|97825|44.4663|-119.5312|244
0.0014142679846618237,Hartleton|PA|17829|40.9005|-77.1558|244
0.001415061532808338,Tiona|PA|16352|41.7434|-79.0528|245
0.0014158550809548523,Josephine|PA|15750|40.4828|-79.185|245
0.0014166486291013667,Rockville|UT|84763|37.1601|-113.0425|245
0.001417442177247881,Grafton|NE|68365|40.6402|-97.7403|245
0.0014182357253943953,Hamilton|WA|98255|48.5255|-121.9887|245
0.0014190292735409096,Macfarlan|WV|26148|39.0806|-81.1776|245
0.0014198228216874239,New Salem|IL|62357|39.6996|-90.844|245
0.0014206163698339382,Copen|WV|26615|38.706|-80.7369|245
0.0014214099179804525,Callicoon Center|NY|12724|41.719|-74.7554|245
0.0014222034661269668,Salt Lake City|UT|84113|40.7658|-111.8364|594043
0.0014229970142734811,Big Oak Flat|CA|95305|37.8261|-120.2521|245
0.0014237905624199954,Fence|WI|54120|45.7597|-88.3649|245
0.0014245873495385363,Tanana|AK|99777|65.2264|-151.0251|246
0.0014253841366570772,Clearview City|KS|66019|38.946|-95.0037|246
0.001426180923775618,Westport Point|MA|02791|41.5191|-71.0851|246
0.001426977710894159,Powder Springs|TN|37848|36.2357|-83.6801|246
0.0014277744980126998,Crane|IN|47522|38.8949|-86.9002|246
0.0014285712851312407,Lemmon|SD|57638|45.9159|-102.1928|1921
0.0014293680722497815,Halbur|IA|51444|42.0048|-94.9731|246
0.0014301648593683224,Newburg|ND|58762|48.6982|-100.9681|246
0.0014309616464868633,Barnard|KS|67418|39.1816|-98.0711|246
0.0014317584336054042,Henrieville|UT|84736|37.5503|-111.9961|246
0.0014325584596959716,Formoso|KS|66942|39.7795|-97.9889|247
0.001433358485786539,Cresbard|SD|57435|45.1691|-98.9411|247
0.0014341585118771065,Fortescue|NJ|08321|39.2189|-75.1403|247
0.001434958537967674,Rehoboth|NM|87322|35.4809|-108.1767|247
0.0014357585640582414,Llano|NM|87543|36.1486|-105.6648|247
0.0014365585901488088,Vienna|SD|57271|44.7362|-97.5307|247
0.0014373586162393763,Preston|OK|74456|35.6983|-96.0112|247
0.0014381586423299437,Laketon|IN|46943|40.9743|-85.8375|247
0.0014389586684205112,Waterville Valley|NH|03215|43.9302|-71.5341|247
0.0014397586945110786,Radom|IL|62876|38.2607|-89.1989|247
0.001440558720601646,Pierpont|SD|57468|45.496|-97.8128|247
0.00144136198566424,Amagon|AR|72005|35.5616|-91.0796|248
0.001442165250726834,Lattimore|NC|28089|35.3087|-81.6617|248
0.001442968515789428,Yellow Spring|WV|26865|39.3141|-78.6594|248
0.001443771780852022,Duck Creek Village|UT|84762|37.5169|-112.6636|248
0.001444575045914616,Ottosen|IA|50570|42.8764|-94.3786|248
0.0014453783109772101,Whittier|AK|99693|60.7734|-148.6839|248
0.0014461815760398041,Noonan|ND|58765|48.8856|-103.0098|248
0.0014469880800744247,Libertytown|MD|21762|39.4822|-77.2468|249
0.0014477945841090453,Wallace|KS|67761|38.8747|-101.5735|249
0.0014486010881436659,Birney|MT|59012|45.2862|-106.5095|249
0.0014494075921782864,Ragland|WV|25690|37.6898|-82.1244|249
0.001450214096212907,Collyer|KS|67631|39.0038|-100.0862|249
0.0014510206002475276,Walnut Creek|OH|44687|40.5516|-81.7284|249
0.0014518271042821482,Liberty|NE|68381|40.0801|-96.4804|249
0.0014526336083167688,Todd|PA|16685|40.271|-78.0772|249
0.0014534401123513893,Swan Valley|ID|83449|43.4058|-111.2794|249
0.00145424661638601,Maybell|CO|81640|40.6738|-108.3699|249
0.0014550531204206305,Adrian|TX|79001|35.2758|-102.697|249
0.001455859624455251,Harper|OR|97906|43.8734|-117.5284|249
0.0014566661284898716,Kingsbury|IN|46345|41.526|-86.6997|249
0.0014574726325244922,Benton City|MO|65232|39.1209|-91.7661|249
0.0014582823755311394,Makoti|ND|58756|47.9853|-101.8149|250
0.0014590921185377865,East Jewett|NY|12424|42.2469|-74.1353|250
0.0014599018615444337,Coyanosa|TX|79730|31.2295|-103.0538|250
0.0014607116045510808,Centrahoma|OK|74534|34.6066|-96.3386|250
0.001461521347557728,Rockville|NE|68871|41.1108|-98.8578|250
0.001462331090564375,Hillsboro|NM|88042|32.9239|-107.6276|250
0.0014631408335710222,Pulteney|NY|14874|42.5233|-77.1691|250
0.0014639505765776694,Geigertown|PA|19523|40.1897|-75.8881|250
0.0014647603195843165,Southmayd|TX|76268|33.6153|-96.7618|250
0.0014655700625909637,Rake|IA|50465|43.4767|-93.9171|250
0.0014663798055976108,York Harbor|ME|03911|43.1555|-70.6357|250
0.001467189548604258,Elkhorn|WV|24831|37.4329|-81.571|250
0.0014679992916109051,Shell|WY|82441|44.6011|-107.7889|250
0.0014688090346175523,Omaha|GA|31821|32.1176|-84.9711|250
0.0014696187776241994,Guy|AR|72061|35.3239|-92.2878|250
0.0014704285206308466,Geyser|MT|59447|47.2598|-110.4839|250
0.0014712415026095205,Cardale|PA|15420|39.9321|-79.6522|251
0.0014720544845881944,West Wardsboro|VT|05360|43.0472|-72.8805|251
0.0014728674665668684,Priddy|TX|76870|31.641|-98.5276|251
0.0014736804485455423,Rupert|GA|31081|32.4325|-84.2738|251
0.0014744934305242162,Grassy Butte|ND|58634|47.4431|-103.2944|251
0.0014753064125028901,Shaktoolik|AK|99771|64.3755|-161.1746|251
0.001476119394481564,Mount Carmel|SC|29840|34.0065|-82.5324|251
0.001476932376460238,Garrard|KY|40941|37.1477|-83.737|251
0.001477745358438912,Alberta|MN|56207|45.5571|-96.0498|251
0.0014785583404175859,Garner|KY|41817|37.3676|-82.9107|251
0.0014793713223962598,Larrabee|IA|51029|42.8734|-95.5651|251
0.0014801843043749337,Lorraine|KS|67459|38.5652|-98.29|251
0.0014809972863536077,Ira|TX|79527|32.5923|-101.0715|251
0.0014818102683322816,Powersville|MO|64672|40.5272|-93.2844|251
0.001482626489282982,Upperglade|WV|26266|38.4185|-80.4965|252
0.0014834427102336826,Boody|IL|62514|39.7624|-89.0507|252
0.001484258931184383,Codorus|PA|17311|39.8718|-76.7599|252
0.0014850751521350836,Pettisville|OH|43553|41.531|-84.2256|252
0.001485891373085784,Mountainville|NY|10953|41.4093|-74.083|252
0.0014867075940364846,Osage|WV|26543|39.5785|-80.093|252
0.001487523814987185,Camp Sherman|OR|97730|44.455|-121.6394|252
0.0014883400359378856,Mc Henry|KY|42354|37.3778|-86.9298|252
0.001489156256888586,Talpa|TX|76882|31.8034|-99.6747|252
0.0014899724778392866,Rozel|KS|67574|38.2148|-99.4048|252
0.001490788698789987,Plumville|PA|16246|40.64|-79.1294|252
0.0014916049197406876,Winstonville|MS|38781|33.8878|-90.7371|252
0.001492421140691388,Crystal Lake|IA|50432|43.2184|-93.8007|252
0.0014932373616420886,Port Penn|DE|19731|39.5129|-75.5852|252
0.001494053582592789,Wacissa|FL|32361|30.3422|-83.8402|252
0.0014948698035434896,Point Pleasant|PA|18950|40.4165|-75.0748|252
0.00149568602449419,South Bend|NE|68058|41.0067|-96.2462|252
0.0014965054844169171,Savonburg|KS|66772|37.7517|-95.1545|253
0.0014973249443396442,Hardaway|AL|36039|32.3129|-85.8838|253
0.0014981444042623713,Potter|WI|54160|44.1199|-88.0965|253
0.0014989638641850983,Oto|IA|51044|42.2646|-95.8616|253
0.0014997833241078254,Whitman|NE|69366|41.9584|-101.5216|253
0.0015006027840305525,Cummaquid|MA|02637|41.7014|-70.2772|253
0.0015014222439532795,Eldorado Springs|CO|80025|39.9324|-105.288|253
0.0015022417038760066,Glencoe|AR|72539|36.3261|-91.7287|253
0.0015030611637987337,Seal Harbor|ME|04675|44.299|-68.2463|253
0.0015038806237214607,Revere|MN|56166|44.2391|-95.3557|253
0.0015047000836441878,Logsden|OR|97357|44.7082|-123.8051|253
0.0015055195435669149,Worthington Springs|FL|32697|29.9315|-82.4255|253
0.001506339003489642,Phillipsport|NY|12769|41.6515|-74.4362|253
0.0015071617023843956,Concord|NE|68728|42.382|-96.981|254
0.0015079844012791492,Maxbass|ND|58760|48.7722|-101.2563|254
0.0015088071001739028,Clontarf|MN|56226|45.3059|-95.8389|254
0.0015096297990686565,Howell|UT|84316|41.7733|-112.3968|254
0.0015104524979634101,Melvin|TX|76858|31.1851|-99.5439|254
0.0015112751968581637,Ramsay|MT|59748|46.0288|-112.7589|254
0.0015120978957529174,Harvard|ID|83834|46.9376|-116.7025|254
0.001512920594647671,Blocksburg|CA|95514|40.2987|-123.6576|254
0.0015137432935424246,Wood|PA|16694|40.166|-78.1381|254
0.0015145659924371783,Lucas|KY|42156|36.8516|-86.0523|254
0.001515388691331932,Watrous|NM|87753|36.0083|-105.0239|254
0.0015162113902266855,Lowland|NC|28552|35.306|-76.5777|254
0.0015170340891214392,Teller|AK|99778|65.2402|-166.3833|254
0.0015178567880161928,New Memphis|IL|62266|38.4857|-89.6816|254
0.0015186794869109465,Matheson|CO|80830|39.132|-103.9132|254
0.0015195054247777267,North Brookfield|NY|13418|42.8501|-75.3815|255
0.0015203313626445069,Lenorah|TX|79749|32.2589|-101.8442|255
0.001521157300511287,Calvin|WV|26660|38.3184|-80.8342|255
0.0015219832383780673,Madison|MD|21648|38.4782|-76.2412|255
0.0015228091762448475,Hartline|WA|99135|47.6115|-119.0841|255
0.0015236351141116277,Glen Echo|MD|20812|38.9693|-77.1435|255
0.0015244610519784079,Knox Dale|PA|15847|41.1411|-78.9629|255
0.001525286989845188,Macksburg|IA|50155|41.2104|-94.1825|255
0.0015261129277119683,Lynn|AR|72440|35.9813|-91.2676|255
0.0015269388655787485,Center Point|WV|26339|39.4125|-80.6352|255
0.0015277648034455287,Percival|IA|51648|40.7401|-95.8093|255
0.0015285907413123089,Kegley|WV|24731|37.4164|-81.1058|255
0.001529416679179089,Woodrow|CO|80757|39.805|-103.5752|255
0.0015302426170458693,Vona|CO|80861|39.3236|-102.7393|255
0.0015310685549126495,Pigeon Falls|WI|54760|44.4249|-91.2074|255
0.0015318944927794297,Kilbourne|LA|71253|32.9946|-91.3162|255
0.0015327236696182365,Monroe|SD|57047|43.5207|-97.212|256
0.0015335528464570432,Panama|NE|68419|40.5998|-96.5129|256
0.00153438202329585,Westdale|NY|13483|43.4117|-75.8226|256
0.0015352112001346568,Tofte|MN|55615|47.7608|-90.7831|256
0.0015360403769734635,Dougherty|IA|50433|42.9416|-93.0686|256
0.0015368695538122703,Hoytville|OH|43529|41.1872|-83.7847|256
0.001537698730651077,Elk Creek|NE|68348|40.2977|-96.1421|256
0.0015385279074898838,Piasa|IL|62079|39.1128|-90.1198|256
0.0015393570843286906,Goree|TX|76363|33.4748|-99.5258|256
0.0015401862611674974,Gratiot|OH|43740|39.9522|-82.2128|256
0.0015410154380063041,Nemaha|NE|68414|40.3198|-95.6913|256
0.001541844614845111,Fort Hunter|NY|12069|42.9457|-74.2633|256
0.0015426737916839177,Buckhorn|NM|88025|33.0634|-108.6956|256
0.0015435029685227245,Long Island|KS|67647|39.9517|-99.5391|256
0.0015443321453615312,Gerton|NC|28735|35.4759|-82.3505|256
0.001545161322200338,Tinnie|NM|88351|33.7397|-105.6294|256
0.0015459937380111713,Bogue|KS|67625|39.3782|-99.6788|257
0.0015468261538220047,Whiteside|TN|37396|35.0206|-85.529|257
0.001547658569632838,Prescott|AZ|86313|34.7067|-112.3977|55321
0.0015484909854436713,York New Salem|PA|17371|39.9006|-76.7896|257
0.0015493234012545047,Dewart|PA|17730|41.1089|-76.8775|257
0.001550155817065338,Hallieford|VA|23068|37.4103|-76.2941|257
0.0015509882328761714,Huntington Mills|PA|18622|41.2722|-75.8801|257
0.0015518206486870047,Bondurant|WY|82922|43.2238|-110.3353|257
0.001552653064497838,Elk Mills|MD|21920|39.658|-75.8282|257
0.0015534854803086714,Beeson|WV|24714|37.4909|-81.2062|257
0.0015543178961195047,Bear Creek|PA|18602|41.1922|-75.7161|257
0.001555150311930338,Newfield|ME|04056|43.6584|-70.8689|257
0.001555985966713198,Tuttle|ND|58488|47.1626|-99.9873|258
0.0015568216214960579,Caddo|TX|76429|32.6886|-98.659|258
0.0015576572762789178,Sierra City|CA|96125|39.5936|-120.6269|258
0.0015584929310617777,Morland|KS|67650|39.3229|-100.0733|258
0.0015593285858446376,Metcalf|IL|61940|39.8008|-87.7955|258
0.0015601642406274975,Hatch|UT|84735|37.7175|-112.4777|258
0.0015609998954103574,Herndon|KS|67739|39.9036|-100.8139|258
0.0015618355501932173,Rock|KS|67131|37.4413|-97.0059|258
0.0015626712049760772,Wise River|MT|59762|45.7424|-112.9963|258
0.001563506859758937,Clare|IL|60111|42.0086|-88.8306|258
0.001564342514541797,Barksdale|TX|78828|29.8282|-100.105|258
0.001565178169324657,Purmela|TX|76566|31.4841|-97.9903|258
0.0015660138241075168,South Pomfret|VT|05067|43.6797|-72.5349|258
0.0015668494788903767,Zeeland|ND|58581|46.0055|-99.7725|258
0.0015676851336732366,Conconully|WA|98819|48.5469|-119.7526|258
0.0015685207884560965,Magnetic Springs|OH|43036|40.3528|-83.2634|258
0.0015693564432389564,Central Village|CT|06332|41.7257|-71.909|258
0.0015701920980218163,Troy|WV|26443|39.0839|-80.7549|258
0.0015710277528046762,Dante|SD|57329|42.9967|-98.1746|258
0.0015718634075875362,Unionville Center|OH|43077|40.1367|-83.3408|258
0.0015727023013424226,Holmes Mill|KY|40843|36.8757|-82.9943|259
0.001573541195097309,Barnesville|MD|20838|39.2233|-77.3764|259
0.0015743800888521956,Spring Glen|NY|12483|41.6639|-74.4245|259
0.001575218982607082,Haugen|WI|54841|45.6067|-91.7786|259
0.0015760578763619685,Pendroy|MT|59467|48.0879|-112.3261|259
0.001576896770116855,Hanna|UT|84031|40.4501|-110.8097|259
0.0015777356638717415,Darling|MS|38623|34.2916|-90.2927|259
0.001578574557626628,Wilson Creek|WA|98860|47.4739|-119.1847|259
0.0015794134513815144,Whitney|NE|69367|42.7559|-103.2396|259
0.0015802523451364009,Cibola|AZ|85328|33.6723|-114.0322|259
0.0015810912388912874,Kingman|ME|04451|45.5984|-68.2366|259
0.0015819301326461738,North Hudson|NY|12855|43.9869|-73.7121|259
0.0015827690264010603,Berwick|IL|61417|40.7799|-90.5059|259
0.0015836079201559468,Ambler|AK|99786|66.8684|-159.8439|259
0.0015844468139108332,Bixby|MO|65439|37.6722|-91.0835|259
0.0015852857076657197,Naper|NE|68755|42.9521|-99.071|259
0.0015861246014206062,Park|KS|67751|39.0788|-100.3469|259
0.0015869667341475192,Grand Forks Afb|ND|58205|47.9515|-97.379|2367
0.0015878088668744323,Skanee|MI|49962|46.8747|-88.1732|260
0.0015886509996013453,Helmville|MT|59843|46.83|-112.9413|260
0.0015894931323282584,Gardiner|OR|97441|43.7857|-124.1437|260
0.0015903352650551714,Dale|WI|54931|44.4163|-88.4649|260
0.0015911773977820844,Tichnor|AR|72166|34.0893|-91.2437|260
0.0015920195305089975,Oakwood|OK|73658|35.9328|-98.7065|260
0.0015928616632359105,Paskenta|CA|96074|39.8772|-122.5814|260
0.0015937037959628236,Merriman|NE|69218|42.6419|-101.7583|260
0.0015945459286897366,Jamestown|ND|58402|46.9788|-98.96|17829
0.0015953880614166496,Costilla|NM|87524|36.9324|-105.6723|260
0.0015962301941435627,Mc Farland|KS|66501|39.0535|-96.2379|260
0.0015970723268704757,Joes|CO|80822|39.6728|-102.6151|260
0.0015979144595973888,Dixon|NE|68732|42.4185|-96.9774|260
0.0015987565923243018,Kanarraville|UT|84742|37.5228|-113.2036|260
0.0015995987250512148,Willow Creek|MT|59760|45.7827|-111.6345|260
0.0016004408577781279,Rainbow Lake|NY|12976|44.5527|-74.318|260
0.0016012862294770675,Hanksville|UT|84734|38.2521|-110.8137|261
0.001602131601176007,Longford|KS|67458|39.1834|-97.2499|261
0.0016029769728749467,Beckwourth|CA|96129|39.7721|-120.4051|261
0.0016038223445738863,Hooper|CO|81136|37.7232|-105.8712|261
0.001604667716272826,Shubert|NE|68437|40.2325|-95.6895|261
0.0016055130879717655,La Pointe|WI|54850|46.8467|-90.6036|261
0.0016063584596707052,Piney River|VA|22964|37.8036|-78.9591|261
0.0016072038313696448,Eustis|ME|04936|45.3356|-70.6283|261
0.0016080492030685844,Benedict|MD|20612|38.5087|-76.6873|261
0.001608894574767524,Ojibwa|WI|54862|45.7854|-91.1109|261
0.0016097399464664636,Longview|IL|61852|39.9012|-88.0753|261
0.0016105853181654032,Kenvir|KY|40847|36.8734|-83.1451|261
0.0016114306898643428,Troutville|PA|15866|41.0117|-78.7857|261
0.0016122760615632824,Allen Junction|WV|25810|37.6033|-81.54|261
0.001613121433262222,Coyote|NM|87012|36.1018|-106.6692|261
0.0016139668049611616,Railroad|PA|17355|39.7573|-76.6994|261
0.0016148121766601012,Hepler|KS|66746|37.6576|-94.9892|261
0.0016156607873310676,Imogene|IA|51645|40.8631|-95.4358|262
0.001616509398002034,Bruner|MO|65620|36.999|-92.9692|262
0.0016173580086730004,Williamstown|MO|63473|40.2491|-91.7852|262
0.0016182066193439668,Dunn Center|ND|58626|47.3453|-102.5892|262
0.0016190552300149332,Bishop|VA|24604|37.2033|-81.5575|342
0.0016199038406858996,Pullman|WV|26421|39.19|-80.9347|262
0.001620752451356866,Sykeston|ND|58486|47.4369|-99.3975|262
0.0016216010620278324,Monument|OR|97864|44.8189|-119.4192|262
0.0016224496726987988,Admire|KS|66830|38.6393|-96.1017|262
0.0016232982833697652,Jenkinjones|WV|24848|37.3752|-81.6539|262
0.0016241468940407316,Shungnak|AK|99773|66.8684|-159.8439|262
0.001624995504711698,Concord|IL|62631|39.823|-90.3722|262
0.0016258441153826643,Galesburg|ND|58035|47.2778|-97.3746|262
0.0016266927260536307,Mc Grann|PA|16236|40.7818|-79.5218|262
0.0016275413367245971,Dawson|IA|50066|41.8324|-94.2171|262
0.0016283899473955635,Guthrie|TX|79236|33.6845|-100.3359|262
0.00162923855806653,Zenia|CA|95595|40.2147|-123.3911|262
0.0016300871687374963,Pleasant Grove|AR|72567|35.8265|-91.8958|262
0.0016309357794084627,Dunfermline|IL|61524|40.4916|-90.0419|262
0.001631784390079429,Highland|OH|45132|39.3527|-83.6024|262
0.001632636239722422,Coaldale|CO|81222|38.3824|-105.7843|263
0.001633488089365415,Prairie Hill|TX|76678|31.6591|-96.8094|263
0.001634339939008408,Lost Creek|PA|17946|40.8081|-76.2407|263
0.001635191788651401,Wainwright|OK|74468|35.6299|-95.6002|263
0.001636043638294394,Laneview|VA|22504|37.7681|-76.7117|263
0.0016368954879373869,Mahanoy Plane|PA|17949|40.794|-76.2433|263
0.0016377473375803798,Oldham|SD|57051|44.2457|-97.2696|263
0.0016385991872233728,California Hot Springs|CA|93207|35.8818|-118.6561|263
0.0016394510368663657,Gypsy|WV|26361|39.2852|-80.3853|263
0.0016403028865093587,Swatara|MN|55785|46.9232|-93.7464|263
0.0016411547361523517,Berlin|OH|44610|40.5474|-81.8766|263
0.0016420098247673712,Pisek|ND|58273|48.2971|-97.7029|264
0.0016428649133823907,Amma|WV|25005|38.5455|-81.2532|264
0.0016437200019974103,Dillon Beach|CA|94929|38.2469|-122.9562|264
0.0016445750906124298,Kirwin|KS|67644|39.6717|-99.1204|264
