national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,is_sublegendary,is_legendary,is_mythical
223,II,Remoraid,Teppouo,water,,Jet,50.2,49.8,0.6,12,190,5120,35,65,35,65,35,65,0,0,0
224,II,Octillery,Okutank,water,,Jet,50.2,49.8,0.9,28.5,75,5120,75,105,75,105,75,45,0,0,0
225,II,Delibird,Delibird,ice,flying,Delivery,50.2,49.8,0.9,16,45,5120,45,55,45,65,45,75,0,0,0
226,II,Mantine,Mantain,water,flying,Kite,50.2,49.8,2.1,220,25,6400,85,40,70,80,140,70,0,0,0
227,II,Skarmory,Airmd,steel,flying,Armor Bird,50.2,49.8,1.7,50.5,25,6400,65,80,140,40,70,70,0,0,0
228,II,Houndour,Delvil,dark,fire,Dark,50,50,0.6,10.8,120,5120,45,60,30,80,50,65,0,0,0
229,II,Houndoom,Hellgar,dark,fire,Dark,50,50,1.4,35,45,5120,75,90,50,110,80,95,0,0,0
230,II,Kingdra,Kingdra,water,dragon,Dragon,50.2,49.8,1.8,152,45,5120,75,95,95,95,95,85,0,0,0
231,II,Phanpy,Gomazou,ground,,Long Nose,50,50,0.5,33.5,120,5120,90,60,60,40,40,40,0,0,0
232,II,Donphan,Donfan,ground,,Armor,50,50,1.1,120,60,5120,90,120,120,60,60,50,0,0,0
233,II,Porygon2,Porygon2,normal,,Virtual,,,0.6,32.5,45,5120,85,80,90,105,95,60,0,0,0
234,II,Stantler,Odoshishi,normal,,Big Horn,50,50,1.4,71.2,45,5120,73,95,62,85,65,85,0,0,0
235,II,Smeargle,Doble,normal,,Painter,50,50,1.2,58,45,5120,55,20,35,20,45,75,0,0,0
236,II,Tyrogue,Balkie,fighting,,Scuffle,100,0,0.7,21,75,6400,35,35,35,35,35,35,0,0,0
237,II,Hitmontop,Kapoerer,fighting,,Handstand,100,0,1.4,48,45,6400,50,95,95,35,110,70,0,0,0
238,II,Smoochum,Muchul,ice,psychic,Kiss,0,100,0.4,6,45,6400,45,30,15,85,65,65,0,0,0
239,II,Elekid,Elekid,electric,,Electric,75.49,24.51,0.6,23.5,45,6400,45,63,37,65,55,95,0,0,0
240,II,Magby,Buby,fire,,Live Coal,75.49,24.51,0.7,21.4,45,6400,45,75,37,70,55,83,0,0,0
241,II,Miltank,Miltank,normal,,Milk Cow,0,100,1.2,75.5,45,5120,95,80,105,40,70,100,0,0,0
242,II,Blissey,Happinas,normal,,Happiness,0,100,1.5,46.8,30,10240,255,10,10,75,135,55,0,0,0
243,II,Raikou,Raikou,electric,,Thunder,,,1.9,178,3,20480,90,85,75,115,100,115,1,0,0
244,II,Entei,Entei,fire,,Volcano,,,2.1,198,3,20480,115,115,85,90,75,100,1,0,0
245,II,Suicune,Suicune,water,,Aurora,,,2,187,3,20480,100,75,115,90,115,85,1,0,0
246,II,Larvitar,Yogiras,rock,ground,Rock Skin,50.2,49.8,0.6,72,45,10240,50,64,50,45,50,41,0,0,0
247,II,Pupitar,Sanagiras,rock,ground,Hard Shell,50.2,49.8,1.2,152,45,10240,70,84,70,65,70,51,0,0,0
248,II,Tyranitar,Bangiras,rock,dark,Armor,50.2,49.8,2,202,45,10240,100,134,110,95,100,61,0,0,0
249,II,Lugia,Lugia,psychic,flying,Diving,,,5.2,216,3,30720,106,90,130,90,154,110,0,1,0
250,II,Ho-Oh,Houou,fire,flying,Rainbow,,,3.8,199,3,30720,106,130,90,110,154,90,0,1,0
251,II,Celebi,Celebi,psychic,grass,Time Travel,,,0.6,5,45,30720,100,100,100,100,100,100,0,0,1
252,III,Treecko,Kimori,grass,,Wood Gecko,88.14,11.86,0.5,5,45,5120,40,45,35,65,55,70,0,0,0
253,III,Grovyle,Juptile,grass,,Wood Gecko,88.14,11.86,0.9,21.6,45,5120,50,65,45,85,65,95,0,0,0
254,III,Sceptile,Jukain,grass,,Forest,88.14,11.86,1.7,52.2,45,5120,70,85,65,105,85,120,0,0,0
255,III,Torchic,Achamo,fire,,Chick,88.14,11.86,0.4,2.5,45,5120,45,60,40,70,50,45,0,0,0
256,III,Combusken,Wakasyamo,fire,fighting,Young Fowl,88.14,11.86,0.9,19.5,45,5120,60,85,60,85,60,55,0,0,0
257,III,Blaziken,Bursyamo,fire,fighting,Blaze,88.14,11.86,1.9,52,45,5120,80,120,70,110,70,80,0,0,0
258,III,Mudkip,Mizugorou,water,,Mud Fish,88.14,11.86,0.4,7.6,45,5120,50,70,50,50,50,40,0,0,0
259,III,Marshtomp,Numacraw,water,ground,Mud Fish,88.14,11.86,0.7,28,45,5120,70,85,70,60,70,50,0,0,0
260,III,Swampert,Laglarge,water,ground,Mud Fish,88.14,11.86,1.5,81.9,45,5120,100,110,90,85,90,60,0,0,0
261,III,Poochyena,Pochiena,dark,,Bite,50,50,0.5,13.6,255,3840,35,55,35,30,30,35,0,0,0
262,III,Mightyena,Graena,dark,,Bite,50,50,1,37,127,3840,70,90,70,60,60,70,0,0,0
263,III,Zigzagoon,Jiguzaguma,normal,dark,Tiny Racoon,50.2,49.8,0.4,17.5,255,3840,38,30,41,30,41,60,0,0,0
264,III,Linoone,Massuguma,normal,dark,Rush,50.2,49.8,0.5,32.5,90,3840,78,70,61,50,61,100,0,0,0
265,III,Wurmple,Kemusso,bug,,Worm,50,50,0.3,3.6,255,3840,45,45,35,20,30,20,0,0,0
266,III,Silcoon,Karasalis,bug,,Cocoon,50,50,0.6,10,120,3840,50,35,55,25,25,15,0,0,0
267,III,Beautifly,Agehunt,bug,flying,Butterfly,50,50,1,28.4,45,3840,60,70,50,100,50,65,0,0,0
268,III,Cascoon,Mayuld,bug,,Cocoon,50,50,0.7,11.5,120,3840,50,35,55,25,25,15,0,0,0
269,III,Dustox,Dokucale,bug,poison,Poison Moth,50,50,1.2,31.6,45,3840,60,50,70,50,90,65,0,0,0
270,III,Lotad,Hassboh,water,grass,Water Weed,50.2,49.8,0.5,2.6,255,3840,40,30,30,40,50,30,0,0,0
271,III,Lombre,Hasubrero,water,grass,Jolly,50.2,49.8,1.2,32.5,120,3840,60,50,50,60,70,50,0,0,0
272,III,Ludicolo,Runpappa,water,grass,Carefree,50.2,49.8,1.5,55,45,3840,80,70,70,90,100,70,0,0,0
273,III,Seedot,Taneboh,grass,,Acorn,50.2,49.8,0.5,4,255,3840,40,40,50,30,30,30,0,0,0
274,III,Nuzleaf,Konohana,grass,dark,Wily,50.2,49.8,1,28,120,3840,70,70,40,60,40,60,0,0,0
275,III,Shiftry,Dirteng,grass,dark,Wickid,50.2,49.8,1.3,59.6,45,3840,90,100,60,90,60,80,0,0,0
276,III,Taillow,Subame,normal,flying,TinySwallow,50,50,0.3,2.3,200,3840,40,55,30,30,30,85,0,0,0
277,III,Swellow,Ohsubame,normal,flying,Swallow,50,50,0.7,19.8,45,3840,60,85,60,75,50,125,0,0,0
278,III,Wingull,Camome,water,flying,Seagull,50.2,49.8,0.6,9.5,190,5120,40,30,30,55,30,85,0,0,0
279,III,Pelipper,Pelipper,water,flying,Water Bird,50.2,49.8,1.2,28,45,5120,60,50,100,95,70,65,0,0,0
280,III,Ralts,Ralts,psychic,fairy,Feeling,50.2,49.8,0.4,6.6,235,5120,28,25,25,45,35,40,0,0,0
281,III,Kirlia,Kirlia,psychic,fairy,Emotion,50.2,49.8,0.8,20.2,120,5120,38,35,35,65,55,50,0,0,0
282,III,Gardevoir,Sirnight,psychic,fairy,Embrace,50.2,49.8,1.6,48.4,45,5120,68,65,65,125,115,80,0,0,0
283,III,Surskit,Ametama,bug,water,Pond Skater,50,50,0.5,1.7,200,3840,40,30,32,50,52,65,0,0,0
284,III,Masquerain,Amemoth,bug,flying,Eyeball,50,50,0.8,3.6,75,3840,70,60,62,100,82,80,0,0,0
285,III,Shroomish,Kinococo,grass,,Mushroom,50,50,0.4,4.5,255,3840,60,40,60,40,60,35,0,0,0
286,III,Breloom,Kinogassa,grass,fighting,Mushroom,50,50,1.2,39.2,90,3840,60,130,80,60,60,70,0,0,0
287,III,Slakoth,Namakero,normal,,Slacker,50,50,0.8,24,255,3840,60,60,60,35,35,30,0,0,0
288,III,Vigoroth,Yarukimono,normal,,Wild Monkey,50,50,1.4,46.5,120,3840,80,80,80,55,55,90,0,0,0
289,III,Slaking,Kekking,normal,,Lazy,50,50,2,130.5,45,3840,150,160,100,95,65,100,0,0,0
290,III,Nincada,Tutinin,bug,ground,Trainee,50.2,49.8,0.5,5.5,255,3840,31,45,90,30,30,40,0,0,0
291,III,Ninjask,Tekkanin,bug,flying,Ninja,50.2,49.8,0.8,12,120,3840,61,90,45,50,50,160,0,0,0
292,III,Shedinja,Nukenin,bug,ghost,Shed,,,0.8,1.2,45,3840,1,90,45,30,30,40,0,0,0
293,III,Whismur,Gonyonyo,normal,,Whisper,50.2,49.8,0.6,16.3,190,5120,64,51,23,51,23,28,0,0,0
294,III,Loudred,Dogohmb,normal,,Big Voice,50.2,49.8,1,40.5,120,5120,84,71,43,71,43,48,0,0,0
295,III,Exploud,Bakuong,normal,,Loud Noise,50.2,49.8,1.5,84,45,5120,104,91,63,91,73,68,0,0,0
296,III,Makuhita,Makunoshita,fighting,,Guts,75.4,24.6,1,86.4,180,5120,72,60,30,20,30,25,0,0,0
297,III,Hariyama,Hariteyama,fighting,,Arm Thrust,75.4,24.6,2.3,253.8,200,5120,144,120,60,40,60,50,0,0,0
298,III,Azurill,Ruriri,normal,fairy,Polka Dot,24.9,75.1,0.2,2,150,2560,50,20,40,20,40,20,0,0,0
299,III,Nosepass,Nosepass,rock,,Compass,50,50,1,97,255,5120,30,45,135,45,90,30,0,0,0
300,III,Skitty,Eneco,normal,,Kitten,24.6,75.4,0.6,11,255,3840,50,45,45,35,35,50,0,0,0
301,III,Delcatty,Enekororo,normal,,Prim,24.6,75.4,1.1,32.6,60,3840,70,65,65,55,55,90,0,0,0
302,III,Sableye,Yamirami,dark,ghost,Darkness,50.2,49.8,0.5,11,45,6400,50,75,75,65,65,50,0,0,0
303,III,Mawile,Kucheat,steel,fairy,Deceiver,50.2,49.8,0.6,11.5,45,5120,50,85,85,55,55,50,0,0,0
304,III,Aron,Cokodora,steel,rock,Iron Armor,50.2,49.8,0.4,60,180,8960,50,70,100,40,40,30,0,0,0
305,III,Lairon,Kodora,steel,rock,Iron Armor,50.2,49.8,0.9,120,90,8960,60,90,140,50,50,40,0,0,0
306,III,Aggron,Bossgodora,steel,rock,Iron Armor,50.2,49.8,2.1,360,45,8960,70,110,180,60,60,50,0,0,0
307,III,Meditite,Asanan,fighting,psychic,Meditate,50,50,0.6,11.2,180,5120,30,40,55,40,55,60,0,0,0
308,III,Medicham,Charem,fighting,psychic,Meditate,50,50,1.3,31.5,90,5120,60,60,75,60,75,80,0,0,0
309,III,Electrike,Rakurai,electric,,Lightning,50.2,49.8,0.6,15.2,120,5120,40,45,40,65,40,65,0,0,0
310,III,Manectric,Livolt,electric,,Discharge,50.2,49.8,1.5,40.2,45,5120,70,75,60,105,60,105,0,0,0
311,III,Plusle,Prasle,electric,,Cheering,50,50,0.4,4.2,200,5120,60,50,40,85,75,95,0,0,0
312,III,Minun,Minun,electric,,Cheering,50,50,0.4,4.2,200,5120,60,40,50,75,85,95,0,0,0
313,III,Volbeat,Barubeat,bug,,Firefly,100,0,0.7,17.7,150,3840,65,73,75,47,85,85,0,0,0
314,III,Illumise,Illumise,bug,,Firefly,0,100,0.6,17.7,150,3840,65,47,75,73,85,85,0,0,0
315,III,Roselia,Roselia,grass,poison,Thorn,50.2,49.8,0.3,2,150,5120,50,60,45,100,80,65,0,0,0
316,III,Gulpin,Gokulin,poison,,Stomach,50,50,0.4,10.3,225,5120,70,43,53,43,53,40,0,0,0
317,III,Swalot,Marunoom,poison,,Poison Bag,50,50,1.7,80,75,5120,100,73,83,73,83,55,0,0,0
318,III,Carvanha,Kibanha,water,dark,Savage,50.2,49.8,0.8,20.8,225,5120,45,90,20,65,20,65,0,0,0
319,III,Sharpedo,Samehader,water,dark,Brutal,50.2,49.8,1.8,88.8,60,5120,70,120,40,95,40,95,0,0,0
320,III,Wailmer,Hoeruko,water,,Ball Whale,50.2,49.8,2,130,125,10240,130,70,35,70,35,60,0,0,0
321,III,Wailord,Whaloh,water,,Float Whale,50.2,49.8,14.5,398,60,10240,170,90,45,90,45,60,0,0,0
322,III,Numel,Donmel,fire,ground,Numb,50,50,0.7,24,255,5120,60,60,40,65,45,35,0,0,0
323,III,Camerupt,Bakuuda,fire,ground,Eruption,50,50,1.9,220,150,5120,70,100,70,105,75,40,0,0,0
324,III,Torkoal,Cotoise,fire,,Coal,50.2,49.8,0.5,80.4,90,5120,70,85,140,85,70,20,0,0,0
325,III,Spoink,Baneboo,psychic,,Bounce,50,50,0.7,30.6,255,5120,60,25,35,70,80,60,0,0,0
326,III,Grumpig,Boopig,psychic,,Manipulate,50,50,0.9,71.5,60,5120,80,45,65,90,110,80,0,0,0
327,III,Spinda,Patcheel,normal,,Spot Panda,50,50,1.1,5,255,3840,60,60,60,60,60,60,0,0,0
328,III,Trapinch,Nuckrar,ground,,Ant Pit,50.2,49.8,0.7,15,255,5120,45,100,45,45,45,10,0,0,0
329,III,Vibrava,Vibrava,ground,dragon,Vibration,50.2,49.8,1.1,15.3,120,5120,50,70,50,50,50,70,0,0,0
330,III,Flygon,Flygon,ground,dragon,Mystic,50.2,49.8,2,82,45,5120,80,100,80,80,80,100,0,0,0
331,III,Cacnea,Sabonea,grass,,Cactus,50,50,0.4,51.3,190,5120,50,85,40,85,40,35,0,0,0
332,III,Cacturne,Noctus,grass,dark,Scarecrow,50,50,1.3,77.4,60,5120,70,115,60,115,60,55,0,0,0
333,III,Swablu,Tyltto,normal,flying,Cotton Bird,50.2,49.8,0.4,1.2,255,5120,45,40,60,40,75,50,0,0,0
334,III,Altaria,Tyltalis,dragon,flying,Humming,50.2,49.8,1.1,20.6,45,5120,75,70,90,70,105,80,0,0,0
335,III,Zangoose,Zangoose,normal,,Cat Ferret,50,50,1.3,40.3,90,5120,73,115,60,60,60,90,0,0,0
336,III,Seviper,Habunake,poison,,Fang Snake,50,50,2.7,52.5,90,5120,73,100,60,100,60,65,0,0,0
337,III,Lunatone,Lunatone,rock,psychic,Meteorite,,,1,168,45,6400,90,55,65,95,85,70,0,0,0
338,III,Solrock,Solrock,rock,psychic,Meteorite,,,1.2,154,45,6400,90,95,85,55,65,70,0,0,0
339,III,Barboach,Dojoach,water,ground,Whiskers,50.2,49.8,0.4,1.9,190,5120,50,48,43,46,41,60,0,0,0
340,III,Whiscash,Namazun,water,ground,Whiskers,50.2,49.8,0.9,23.6,75,5120,110,78,73,76,71,60,0,0,0
341,III,Corphish,Heigani,water,,Ruffian,50.2,49.8,0.6,11.5,205,3840,43,80,65,50,35,35,0,0,0
342,III,Crawdaunt,Shizariger,water,dark,Rogue,50.2,49.8,1.1,32.8,155,3840,63,120,85,90,55,55,0,0,0
343,III,Baltoy,Yajilon,ground,psychic,Clay Doll,,,0.5,21.5,255,5120,40,40,55,40,70,55,0,0,0
344,III,Claydol,Nendoll,ground,psychic,Clay Doll,,,1.5,108,90,5120,60,70,105,70,120,75,0,0,0
345,III,Lileep,Lilyla,rock,grass,Sea Lily,88.14,11.86,1,23.8,45,7680,66,41,77,61,87,23,0,0,0
346,III,Cradily,Yuradle,rock,grass,Barnacle,88.14,11.86,1.5,60.4,45,7680,86,81,97,81,107,43,0,0,0
347,III,Anorith,Anopth,rock,bug,Old Shrimp,88.14,11.86,0.7,12.5,45,7680,45,95,50,40,50,75,0,0,0
348,III,Armaldo,Armaldo,rock,bug,Plate,88.14,11.86,1.5,68.2,45,7680,75,125,100,70,80,45,0,0,0
349,III,Feebas,Hinbass,water,,Fish,50.2,49.8,0.6,7.4,255,5120,20,15,20,10,55,80,0,0,0
350,III,Milotic,Milokaross,water,,Tender,50.2,49.8,6.2,162,60,5120,95,60,79,100,125,81,0,0,0
351,III,Castform,Powalen,normal,fire,Weather,50,50,0.3,0.8,45,6400,70,70,70,70,70,70,0,0,0
352,III,Kecleon,Kakureon,normal,,Color Swap,50,50,1,22,200,5120,60,90,70,60,120,40,0,0,0
353,III,Shuppet,Kagebouzu,ghost,,Puppet,50,50,0.6,2.3,225,6400,44,75,35,63,33,45,0,0,0
354,III,Banette,Juppeta,ghost,,Marionette,50,50,1.1,12.5,45,6400,64,115,65,83,63,65,0,0,0
355,III,Duskull,Yomawaru,ghost,,Requiem,50.2,49.8,0.8,15,190,6400,20,40,90,30,90,25,0,0,0
356,III,Dusclops,Samayouru,ghost,,Beckon,50.2,49.8,1.6,30.6,90,6400,40,70,130,60,130,25,0,0,0
357,III,Tropius,Tropius,grass,flying,Fruit,50,50,2,100,200,6400,99,68,83,72,87,51,0,0,0
358,III,Chimecho,Chirean,psychic,,Wind Chime,50,50,0.6,1,45,6400,75,50,80,95,90,65,0,0,0
359,III,Absol,Absol,dark,,Disaster,50.2,49.8,1.2,47,30,6400,65,130,60,75,60,75,0,0,0
360,III,Wynaut,Sohnano,psychic,,Bright,50.2,49.8,0.6,14,125,5120,95,23,48,23,48,23,0,0,0
361,III,Snorunt,Yukiwarashi,ice,,Snow Hat,50.2,49.8,0.7,16.8,190,5120,50,50,50,50,50,50,0,0,0
362,III,Glalie,Onigohri,ice,,Face,50.2,49.8,1.5,256.5,75,5120,80,80,80,80,80,80,0,0,0
363,III,Spheal,Tamazarashi,ice,water,Clap,50.2,49.8,0.8,39.5,255,5120,70,40,50,55,50,25,0,0,0
364,III,Sealeo,Todoggler,ice,water,Ball Roll,50.2,49.8,1.1,87.6,120,5120,90,60,70,75,70,45,0,0,0
365,III,Walrein,Todoseruga,ice,water,Ice Break,50.2,49.8,1.4,150.6,45,5120,110,80,90,95,90,65,0,0,0
366,III,Clamperl,Pearlulu,water,,Bivalve,50,50,0.4,52.5,255,5120,35,64,85,74,55,32,0,0,0
367,III,Huntail,Huntail,water,,Deep Sea,50,50,1.7,27,60,5120,55,104,105,94,75,52,0,0,0
368,III,Gorebyss,Sakurabyss,water,,South Sea,50,50,1.8,22.6,60,5120,55,84,105,114,75,52,0,0,0
369,III,Relicanth,Glanth,water,rock,Longevity,88.14,11.86,1,23.4,25,10240,100,90,130,45,65,55,0,0,0
370,III,Luvdisc,Lovecus,water,,Rendezvous,24.6,75.4,0.6,8.7,225,5120,43,30,55,40,65,97,0,0,0
371,III,Bagon,Tatsubay,dragon,,Rock Head,50.2,49.8,0.6,42.1,45,10240,45,75,60,40,30,50,0,0,0
372,III,Shelgon,Komoruu,dragon,,Endurance,50.2,49.8,1.1,110.5,45,10240,65,95,100,60,50,50,0,0,0
373,III,Salamence,Bohmander,dragon,flying,Dragon,50.2,49.8,1.5,102.6,45,10240,95,135,80,110,80,100,0,0,0
374,III,Beldum,Dumbber,steel,psychic,Iron Ball,,,0.6,95.2,3,10240,40,55,80,35,60,30,0,0,0
375,III,Metang,Metang,steel,psychic,Iron Claw,,,1.2,202.5,3,10240,60,75,100,55,80,50,0,0,0
376,III,Metagross,Metagross,steel,psychic,Iron Leg,,,1.6,550,3,10240,80,135,130,95,90,70,0,0,0
377,III,Regirock,Regirock,rock,,Rock Peak,,,1.7,230,3,20480,80,100,200,50,100,50,1,0,0
378,III,Regice,Regice,ice,,Iceberg,,,1.8,175,3,20480,80,50,100,100,200,50,1,0,0
379,III,Registeel,Registeel,steel,,Iron,,,1.9,205,3,20480,80,75,150,75,150,50,1,0,0
380,III,Latias,Latias,dragon,psychic,Eon,0,100,1.4,40,3,30720,80,80,90,110,130,110,1,0,0
381,III,Latios,Latios,dragon,psychic,Eon,100,0,2,60,3,30720,80,90,80,130,110,110,1,0,0
382,III,Kyogre,Kyogre,water,,Sea Basin,,,4.5,352,3,30720,100,100,90,150,140,90,0,1,0
383,III,Groudon,Groudon,ground,,Continent,,,3.5,950,3,30720,100,150,140,100,90,90,0,1,0
384,III,Rayquaza,Rayquaza,dragon,flying,Sky High,,,7,206.5,45,30720,105,150,90,150,90,95,0,1,0
385,III,Jirachi,Jirachi,steel,psychic,Wish,,,0.3,1.1,3,30720,100,100,100,100,100,100,0,0,1
386,III,Deoxys,Deoxys,psychic,,DNA,,,1.7,60.8,3,30720,50,150,50,150,50,150,0,0,1
387,IV,Turtwig,Naetle,grass,,Tiny Leaf,88.1,11.9,0.4,10.2,45,5120,55,68,64,45,55,31,0,0,0
388,IV,Grotle,Hayashigame,grass,,Grove,88.1,11.9,1.1,97,45,5120,75,89,85,55,65,36,0,0,0
389,IV,Torterra,Dodaitose,grass,ground,Continent,88.1,11.9,2.2,310,45,5120,95,109,105,75,85,56,0,0,0
390,IV,Chimchar,Hikozaru,fire,,Chimp,88.1,11.9,0.5,6.2,45,5120,44,58,44,58,44,61,0,0,0
391,IV,Monferno,Moukazaru,fire,fighting,Playful,88.1,11.9,0.9,22,45,5120,64,78,52,78,52,81,0,0,0
392,IV,Infernape,Goukazaru,fire,fighting,Flame,88.1,11.9,1.2,55,45,5120,76,104,71,104,71,108,0,0,0
393,IV,Piplup,Pochama,water,,Penguin,88.1,11.9,0.4,5.2,45,5120,53,51,53,61,56,40,0,0,0
394,IV,Prinplup,Pottaishi,water,,Penguin,88.1,11.9,0.8,23,45,5120,64,66,68,81,76,50,0,0,0
395,IV,Empoleon,Emperte,water,steel,Emperor,88.1,11.9,1.7,84.5,45,5120,84,86,88,111,101,60,0,0,0
396,IV,Starly,Mukkuru,normal,flying,Starling,50,50,0.3,2,255,3840,40,55,30,30,30,60,0,0,0
397,IV,Staravia,Mukubird,normal,flying,Starling,50,50,0.6,15.5,120,3840,55,75,50,40,40,80,0,0,0
398,IV,Staraptor,Mukuhawk,normal,flying,Predator,50,50,1.2,24.9,45,3840,85,120,70,50,60,100,0,0,0
399,IV,Bidoof,Bippa,normal,,Plump Mouse,50,50,0.5,20,255,3840,59,45,40,35,40,31,0,0,0
400,IV,Bibarel,Beadaru,normal,water,Beaver,50,50,1,31.5,127,3840,79,85,60,55,60,71,0,0,0
401,IV,Kricketot,Korobohshi,bug,,Cricket,50,50,0.3,2.2,255,3840,37,25,41,25,41,25,0,0,0
402,IV,Kricketune,Korotock,bug,,Cricket,50,50,1,25.5,45,3840,77,85,51,55,51,65,0,0,0
403,IV,Shinx,Kolink,electric,,Flash,50.2,49.8,0.5,9.5,235,5120,45,65,34,40,34,45,0,0,0
404,IV,Luxio,Luxio,electric,,Spark,50.2,49.8,0.9,30.5,120,5120,60,85,49,60,49,60,0,0,0
405,IV,Luxray,Rentorar,electric,,Gleam Eyes,50.2,49.8,1.4,42,45,5120,80,120,79,95,79,70,0,0,0
406,IV,Budew,Subomie,grass,poison,Bud,50.2,49.8,0.2,1.2,255,5120,40,30,35,50,70,55,0,0,0
407,IV,Roserade,Roserade,grass,poison,Bouquet,50.2,49.8,0.9,14.5,75,5120,60,70,65,125,105,90,0,0,0
408,IV,Cranidos,Zugaidos,rock,,Head Butt,88.1,11.9,0.9,31.5,45,7680,67,125,40,30,30,58,0,0,0
409,IV,Rampardos,Rampald,rock,,Head Butt,88.1,11.9,1.6,102.5,45,7680,97,165,60,65,50,58,0,0,0
410,IV,Shieldon,Tatetops,rock,steel,Shield,88.1,11.9,0.5,57,45,7680,30,42,118,42,88,30,0,0,0
411,IV,Bastiodon,Torideps,rock,steel,Shield,88.1,11.9,1.3,149.5,45,7680,60,52,168,47,138,30,0,0,0
412,IV,Burmy,Minomucchi,bug,,Bagworm,50,50,0.2,3.4,120,3840,40,29,45,29,45,36,0,0,0
413,IV,Wormadam,Minomadam,bug,grass,Bagworm,0,100,0.5,6.5,45,3840,60,59,85,79,105,36,0,0,0
414,IV,Mothim,Gamale,bug,flying,Moth,100,0,0.9,23.3,45,3840,70,94,50,94,50,66,0,0,0
415,IV,Combee,Mitsuhoney,bug,flying,Tiny Bee,88.14,11.86,0.3,5.5,120,3840,30,30,42,30,42,70,0,0,0
416,IV,Vespiquen,Beequen,bug,flying,Beehive,0,100,1.2,38.5,45,3840,70,80,102,80,102,40,0,0,0
417,IV,Pachirisu,Pachirisu,electric,,EleSquirrel,50,50,0.4,3.9,200,2560,60,45,70,45,90,95,0,0,0
418,IV,Buizel,Buoysel,water,,Sea Weasel,50,50,0.7,29.5,190,5120,55,65,35,60,30,85,0,0,0
419,IV,Floatzel,Floazel,water,,Sea Weasel,50,50,1.1,33.5,75,5120,85,105,55,85,50,115,0,0,0
420,IV,Cherubi,Cherinbo,grass,,Cherry,50.2,49.8,0.4,3.3,190,5120,45,35,45,62,53,35,0,0,0
421,IV,Cherrim,Cherrim,grass,,Blossom,50.2,49.8,0.5,9.3,75,5120,70,60,70,87,78,85,0,0,0
422,IV,Shellos,Karanakushi,water,,Sea Slug,50.2,49.8,0.3,6.3,190,5120,76,48,48,57,62,34,0,0,0
423,IV,Gastrodon,Tritodon,water,ground,Sea Slug,50.2,49.8,0.9,29.9,75,5120,111,83,68,92,82,39,0,0,0
424,IV,Ambipom,Eteboth,normal,,Long Tail,50,50,1.2,20.3,45,5120,75,100,66,60,66,115,0,0,0
425,IV,Drifloon,Fuwante,ghost,flying,Balloon,50.2,49.8,0.4,1.2,125,7680,90,50,34,60,44,70,0,0,0
426,IV,Drifblim,Fuwaride,ghost,flying,Blimp,50.2,49.8,1.2,15,60,7680,150,80,44,90,54,80,0,0,0
427,IV,Buneary,Mimirol,normal,,Rabbit,50.2,49.8,0.4,5.5,190,5120,55,66,44,44,56,85,0,0,0
428,IV,Lopunny,Mimilop,normal,,Rabbit,50.2,49.8,1.2,33.3,60,5120,65,76,84,54,96,105,0,0,0
429,IV,Mismagius,Mumargi,ghost,,Magical,50,50,0.9,4.4,45,6400,60,60,60,105,105,105,0,0,0
430,IV,Honchkrow,Dongkarasu,dark,flying,Big Boss,50,50,0.9,27.3,30,5120,100,125,52,105,52,71,0,0,0
431,IV,Glameow,Nyarmar,normal,,Catty,24.6,75.4,0.5,3.9,190,5120,49,55,42,42,37,85,0,0,0
432,IV,Purugly,Bunyatto,normal,,Tiger Cat,24.6,75.4,1,43.8,75,5120,71,82,64,64,59,112,0,0,0
433,IV,Chingling,Lisyan,psychic,,Bell,50,50,0.2,0.6,120,6400,45,30,50,65,50,45,0,0,0
434,IV,Stunky,Skunpuu,poison,dark,Skunk,50.2,49.8,0.4,19.2,225,5120,63,63,47,41,41,74,0,0,0
435,IV,Skuntank,Skutank,poison,dark,Skunk,50.2,49.8,1,38,60,5120,103,93,67,71,61,84,0,0,0
436,IV,Bronzor,Dohmirror,steel,psychic,Bronze,,,0.5,60.5,255,5120,57,24,86,24,86,23,0,0,0
437,IV,Bronzong,Dohtakun,steel,psychic,Bronze Bell,,,1.3,187,90,5120,67,89,116,79,116,33,0,0,0
438,IV,Bonsly,Usohachi,rock,,Bonsai,50.2,49.8,0.5,15,255,5120,50,80,95,10,45,10,0,0,0
439,IV,Mime Jr.,Manene,psychic,fairy,Mime,50.2,49.8,0.6,13,145,6400,20,25,45,70,90,60,0,0,0
440,IV,Happiny,Pinpuku,normal,,Playhouse,0,100,0.6,24.4,130,10240,100,5,5,15,65,30,0,0,0
441,IV,Chatot,Perap,normal,flying,Music Note,50,50,0.5,1.9,30,5120,76,65,45,92,42,91,0,0,0
442,IV,Spiritomb,Mikaruge,ghost,dark,Forbidden,50.2,49.8,1,108,100,7680,50,92,108,92,108,35,0,0,0
443,IV,Gible,Fukamaru,dragon,ground,Land Shark,50.2,49.8,0.7,20.5,45,10240,58,70,45,40,45,42,0,0,0
444,IV,Gabite,Gabite,dragon,ground,Cave,50.2,49.8,1.4,56,45,10240,68,90,65,50,55,82,0,0,0
