asset_classes,products,maturity_buckets,business_units,pd_bucket,legal_entities,transaction_id,exposure,RWA,reporting_date
Securities firms,Debt securities,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_043637,350.997249672068,87.2820691498147,2020-03-31
Corporates,Other investments,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_927353,561.6822036246797,167.09512893961096,2020-03-31
Regulatory retail portfolios,Loans,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_952103,689.5375947713951,299.3284045747714,2020-03-31
Sovereigns and their central banks,Debt securities,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_039107,659.3368621147333,325.1880139594761,2020-03-31
Non-central government public sector entities,Other investments,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_811991,399.701017075217,172.29766812474355,2020-03-31
Multilateral development banks,Loans,>1y,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_599272,913.6047142246556,276.5461755871518,2020-03-31
Banks,Debt securities,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank filial,transaction_612381,282.2316843864075,147.05686179485957,2020-03-31
Securities firms,Other investments,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_621484,739.7124310113634,342.725450154407,2020-03-31
Corporates,Loans,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_503631,134.21641461222845,28.56408599351135,2020-03-31
Regulatory retail portfolios,Debt securities,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_948299,792.4066089475549,157.40136922676362,2020-03-31
Sovereigns and their central banks,Other investments,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_940745,193.6840815402938,72.45833063457826,2020-03-31
Non-central government public sector entities,Loans,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_280069,357.7263133849315,126.2795304277751,2020-03-31
Multilateral development banks,Debt securities,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_665049,65.15802406449492,15.388044850220645,2020-03-31
Banks,Other investments,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_629172,157.6796577713975,96.60808480173108,2020-03-31
Securities firms,Loans,> 10 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_532248,755.6167051889349,136.97175771308358,2020-03-31
Corporates,Debt securities,>1y,Personal Banking,0.00 to < 0.15,iBank filial,transaction_313582,511.13597449420547,172.8941418050873,2020-03-31
Regulatory retail portfolios,Other investments,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_473707,350.64120082447977,161.40994340587335,2020-03-31
Sovereigns and their central banks,Loans,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_860687,989.5324817557475,319.40253434354617,2020-03-31
Non-central government public sector entities,Debt securities,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_512567,67.06682359463746,23.729829907993512,2020-03-31
Multilateral development banks,Other investments,> 10 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_617314,216.88802075622388,53.230656772556415,2020-03-31
Banks,Loans,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_558265,661.3687803878014,435.0080781998642,2020-03-31
Securities firms,Debt securities,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_191894,230.8402803455455,150.076349031507,2020-03-31
Corporates,Other investments,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank CIB,transaction_457418,540.935457067222,248.98291569359813,2020-03-31
Regulatory retail portfolios,Loans,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_761177,436.0064523917447,81.912300279078,2020-03-31
Sovereigns and their central banks,Debt securities,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_670005,115.86180173415707,29.549991221311753,2020-03-31
Non-central government public sector entities,Other investments,>1y,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_039824,256.3473960269511,85.89608950886348,2020-03-31
Multilateral development banks,Loans,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_174746,824.9442531241184,483.03890989164984,2020-03-31
Banks,Debt securities,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_684429,987.6721173740416,248.69212702648727,2020-03-31
Securities firms,Other investments,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_228055,665.9402689756797,135.70589810488067,2020-03-31
Corporates,Loans,> 10 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_622812,591.2336107546248,142.55626780435455,2020-03-31
Regulatory retail portfolios,Debt securities,>1y,Asset & Wealth Management,100 default,iBank filial,transaction_352813,751.1997588063089,231.0837590711373,2020-03-31
Sovereigns and their central banks,Other investments,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_437738,728.285930141442,231.97235451930467,2020-03-31
Non-central government public sector entities,Loans,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_577498,243.33823142306503,69.47241496095911,2020-03-31
Multilateral development banks,Debt securities,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_968430,219.64163255344337,214.5298157027523,2020-03-31
Banks,Other investments,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_702398,885.7802558622101,191.33855486807266,2020-03-31
Securities firms,Loans,>1y,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_082550,229.71810752931052,103.46746469949125,2020-03-31
Corporates,Debt securities,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_036281,146.79792758405316,60.73437500107795,2020-03-31
Regulatory retail portfolios,Other investments,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_120286,614.4942861373785,115.19552335196578,2020-03-31
Sovereigns and their central banks,Loans,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_862226,938.4710577211702,391.19756846919176,2020-03-31
Non-central government public sector entities,Debt securities,> 10 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_618735,768.0993478712684,223.5069573679027,2020-03-31
Multilateral development banks,Other investments,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_607406,71.20261129744371,27.660827504243244,2020-03-31
Banks,Loans,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_490089,204.86026214800455,99.17893270315741,2020-03-31
Securities firms,Debt securities,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_421724,249.09042275533903,128.70722371707177,2020-03-31
Corporates,Other investments,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_041245,299.913124440781,85.22047314699978,2020-03-31
Regulatory retail portfolios,Loans,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_675344,357.3149013517493,121.02437105767054,2020-03-31
Sovereigns and their central banks,Debt securities,>1y,Wholesale Banking,10.00 to < 100,iBank filial,transaction_113562,786.9546829678063,133.1381735269202,2020-03-31
Non-central government public sector entities,Other investments,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank CIB,transaction_494148,905.9190361586128,568.2295692300664,2020-03-31
Multilateral development banks,Loans,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_431430,756.659084072654,316.76852371493044,2020-03-31
Banks,Debt securities,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_128317,327.78787503262345,122.41549701040609,2020-03-31
Securities firms,Other investments,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_850468,862.5182331296684,196.45887420467275,2020-03-31
Corporates,Loans,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_972561,173.0163988820231,61.28852231263649,2020-03-31
Regulatory retail portfolios,Debt securities,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_153431,682.0067777520544,330.06803616414516,2020-03-31
Sovereigns and their central banks,Other investments,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_478352,157.71358751599882,47.28003065716335,2020-03-31
Non-central government public sector entities,Loans,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_614789,700.1985445512515,531.4315611233427,2020-03-31
Multilateral development banks,Debt securities,> 10 years,Asset & Wealth Management,100 default,iBank filial,transaction_221760,765.2286631052332,322.6316287703091,2020-03-31
Banks,Other investments,>1y,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_956477,228.2823514095633,104.92894284796566,2020-03-31
Securities firms,Loans,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_953391,807.6170536446347,181.34939029050418,2020-03-31
Corporates,Debt securities,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_295808,363.23159886292774,100.21749278112063,2020-03-31
Regulatory retail portfolios,Other investments,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_565912,855.3069740808717,309.3261301474878,2020-03-31
Sovereigns and their central banks,Loans,> 10 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_276498,246.25718887291407,128.97887689545485,2020-03-31
Non-central government public sector entities,Debt securities,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_503465,480.43670172241156,202.3441597206427,2020-03-31
Multilateral development banks,Other investments,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_132258,577.304402659255,331.545772849239,2020-03-31
Banks,Loans,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_405210,129.22897405312156,62.68713033525627,2020-03-31
Securities firms,Debt securities,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_508313,364.97274671528925,84.57847976379372,2020-03-31
Corporates,Other investments,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_298716,734.6695263066218,100.96621551516658,2020-03-31
Regulatory retail portfolios,Loans,>1y,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_338383,68.70066646039842,27.278277844884204,2020-03-31
Sovereigns and their central banks,Debt securities,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_381166,991.8219305171488,306.17046446464616,2020-03-31
Non-central government public sector entities,Other investments,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_301580,820.3747509469697,418.80899568571687,2020-03-31
Multilateral development banks,Loans,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_931286,907.5930702365965,363.1933026468108,2020-03-31
Banks,Debt securities,> 10 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_810488,758.6533956708595,534.1605632260469,2020-03-31
Securities firms,Other investments,>1y,Asset & Wealth Management,100 default,iBank CIB,transaction_848775,128.74659405180896,47.10795693170575,2020-03-31
Corporates,Loans,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_491807,180.23709474133648,60.414333901847066,2020-03-31
Regulatory retail portfolios,Debt securities,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_899745,780.8211437052328,136.55322485871957,2020-03-31
Sovereigns and their central banks,Other investments,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_085314,808.8323968212591,362.25820813437815,2020-03-31
Non-central government public sector entities,Loans,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_843881,398.2304083716516,121.72165416358165,2020-03-31
Multilateral development banks,Debt securities,>1y,Personal Banking,0.75 to < 2.50,iBank filial,transaction_720190,676.1692048940171,260.00576157235014,2020-03-31
Banks,Other investments,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_381723,779.5817134656526,390.99717177010854,2020-03-31
Securities firms,Loans,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_641069,171.32017550244302,65.62364657133267,2020-03-31
Corporates,Debt securities,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank filial,transaction_388223,703.7696334605624,94.79727911581502,2020-03-31
Regulatory retail portfolios,Other investments,> 10 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_441989,658.2488159601576,297.9988917280372,2020-03-31
Sovereigns and their central banks,Loans,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_855735,644.6318452503592,176.76366698388748,2020-03-31
Non-central government public sector entities,Debt securities,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_023424,266.1990947299994,58.213957363569456,2020-03-31
Multilateral development banks,Other investments,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_750818,539.9230221535826,108.31945380187638,2020-03-31
Banks,Loans,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_780075,94.44736679252883,29.17683071345196,2020-03-31
Securities firms,Debt securities,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_630393,58.36516845600402,21.739200327001775,2020-03-31
Corporates,Other investments,>1y,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_110936,290.51870966282877,97.20164353886749,2020-03-31
Regulatory retail portfolios,Loans,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_974382,787.7942694927639,456.6854417969404,2020-03-31
Sovereigns and their central banks,Debt securities,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_074720,480.5408108553528,135.3370577160721,2020-03-31
Non-central government public sector entities,Other investments,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_160174,588.0494034967262,224.82107091605582,2020-03-31
Multilateral development banks,Loans,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_537361,115.60015520063416,33.72247356561934,2020-03-31
Banks,Debt securities,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_263250,429.6491276533838,163.889411431468,2020-03-31
Securities firms,Other investments,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_494528,773.3930056511583,347.6568662083697,2020-03-31
Corporates,Loans,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_622329,982.8627317005253,168.22512270611227,2020-03-31
Regulatory retail portfolios,Debt securities,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_123861,568.0472974283799,368.37093349763205,2020-03-31
Sovereigns and their central banks,Other investments,> 10 years,Asset & Wealth Management,100 default,iBank CIB,transaction_566970,869.4544055944277,209.92601460808157,2020-03-31
Non-central government public sector entities,Loans,>1y,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_103012,868.1139710977407,181.9989429308617,2020-03-31
Multilateral development banks,Debt securities,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_244299,819.5747894322054,234.9003783172453,2020-03-31
Banks,Other investments,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_988689,640.9843485471447,105.79791635805955,2020-03-31
Securities firms,Loans,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_381231,374.68984855231986,173.90856945169068,2020-03-31
Corporates,Debt securities,> 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_118418,58.28581353436343,34.89155254310949,2020-03-31
Regulatory retail portfolios,Other investments,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_976391,135.1986970898558,24.077724182956832,2020-03-31
Sovereigns and their central banks,Loans,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_136037,667.6477063442904,193.99464138103963,2020-03-31
Non-central government public sector entities,Debt securities,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank filial,transaction_290411,215.47242365575144,50.419181328718025,2020-03-31
Multilateral development banks,Other investments,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_584215,558.2346216929027,320.82982855924655,2020-03-31
Banks,Loans,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_883742,93.02705384890812,37.192828026129646,2020-03-31
Securities firms,Debt securities,>1y,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_549453,388.01468968220206,187.49003223408894,2020-03-31
Corporates,Other investments,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_155060,322.894346188688,75.1662957900315,2020-03-31
Regulatory retail portfolios,Loans,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_764650,221.84959617557612,106.9701787124529,2020-03-31
Sovereigns and their central banks,Debt securities,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_024357,439.3049058650668,257.4682202259006,2020-03-31
Non-central government public sector entities,Other investments,> 10 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_075053,5.708891706243083,1.3879200582169064,2020-03-31
Multilateral development banks,Loans,>1y,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_267417,186.65998405166673,48.32361474046396,2020-03-31
Banks,Debt securities,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_141657,290.3265336028811,39.65459257317719,2020-03-31
Securities firms,Other investments,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_165162,632.5147855319489,220.43760586055183,2020-03-31
Corporates,Loans,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_531977,181.6087439631062,54.16120492380973,2020-03-31
Regulatory retail portfolios,Debt securities,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_203312,863.5867768416217,246.99472440945107,2020-03-31
Sovereigns and their central banks,Other investments,>1y,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_886173,713.6062649980538,420.1077067199957,2020-03-31
Non-central government public sector entities,Loans,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_384716,617.2820786089151,184.5426734114912,2020-03-31
Multilateral development banks,Debt securities,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_117584,765.9460647023647,417.6589367132512,2020-03-31
Banks,Other investments,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank CIB,transaction_890465,782.20200883655,348.38137468033125,2020-03-31
Securities firms,Loans,> 10 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_903742,815.9627074223955,355.38088149914137,2020-03-31
Corporates,Debt securities,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_111945,687.5599139369009,311.93875224300143,2020-03-31
Regulatory retail portfolios,Other investments,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_281364,912.6061649136838,396.76527020864023,2020-03-31
Sovereigns and their central banks,Loans,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_431050,407.18824463717095,221.5704141377077,2020-03-31
Non-central government public sector entities,Debt securities,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_950358,1085.6744048325484,532.5384455900167,2020-03-31
Multilateral development banks,Other investments,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_852256,248.58807669359385,111.25765000514238,2020-03-31
Banks,Loans,>1y,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_105802,288.2863032224401,205.9260309103706,2020-03-31
Securities firms,Debt securities,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank filial,transaction_963657,427.8264846945111,226.72390783587628,2020-03-31
Corporates,Other investments,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_383388,188.83334381361638,71.40624418086036,2020-03-31
Regulatory retail portfolios,Loans,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_829907,787.315824286375,221.78012629434068,2020-03-31
Sovereigns and their central banks,Debt securities,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_406429,901.6693111362613,184.2839882658959,2020-03-31
Non-central government public sector entities,Other investments,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_257705,276.60399555265747,140.87514795351441,2020-03-31
Multilateral development banks,Loans,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_424442,115.4837365271419,50.482917467677446,2020-03-31
Banks,Debt securities,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_619781,1036.2680900193136,322.456563669879,2020-03-31
Securities firms,Other investments,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_289901,555.2501071635321,165.08726848168516,2020-03-31
Corporates,Loans,> 10 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_929562,430.7283349354939,59.89358527850729,2020-03-31
Sovereigns and their central banks,Loans,>1y,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_785396,86.19750981003531,10.507419581469101,2020-04-30
Non-central government public sector entities,Debt securities,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_295490,665.0153697640337,357.9813937333134,2020-04-30
Multilateral development banks,Other investments,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_256270,859.3552408432371,436.5174089573082,2020-04-30
Banks,Loans,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_287689,135.80384314740562,52.88778143940595,2020-04-30
Securities firms,Debt securities,> 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_831158,592.7801753529001,223.03851057635546,2020-04-30
Corporates,Other investments,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_159122,950.3689076152069,265.7625210624657,2020-04-30
Regulatory retail portfolios,Loans,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_331469,489.8886341668779,194.70765127961644,2020-04-30
Sovereigns and their central banks,Debt securities,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank filial,transaction_243011,349.8179758232051,130.7378904446927,2020-04-30
Non-central government public sector entities,Other investments,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_147282,731.5323188729126,135.5461797387788,2020-04-30
Multilateral development banks,Loans,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_028737,79.19522192116727,24.307255040123465,2020-04-30
Banks,Debt securities,>1y,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_191288,910.5701888584515,436.5172176864556,2020-04-30
Securities firms,Other investments,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_947739,258.4215906885628,62.691440130988404,2020-04-30
Corporates,Loans,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_944049,592.2520778672271,334.60175432538983,2020-04-30
Regulatory retail portfolios,Debt securities,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_257819,930.0212744616176,385.5055083424619,2020-04-30
Sovereigns and their central banks,Other investments,> 10 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_371729,217.1952915469491,87.21374268997347,2020-04-30
Non-central government public sector entities,Loans,>1y,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_547086,267.6130569855865,60.35732735931037,2020-04-30
Multilateral development banks,Debt securities,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_548504,129.80948935189093,26.824257974185592,2020-04-30
Banks,Other investments,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_851726,647.0103626298967,194.0811931828907,2020-04-30
Securities firms,Loans,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_957698,632.863545445349,205.62065520464262,2020-04-30
Corporates,Debt securities,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_240652,677.165852752903,110.39593446440647,2020-04-30
Regulatory retail portfolios,Other investments,>1y,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_886434,481.00284334426794,125.9339317952769,2020-04-30
Sovereigns and their central banks,Loans,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_826979,376.8793842178902,139.65813527446386,2020-04-30
Non-central government public sector entities,Debt securities,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_293920,1101.777901300609,564.9948082677254,2020-04-30
Multilateral development banks,Other investments,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank CIB,transaction_120017,842.6593836685737,201.21476350098652,2020-04-30
Banks,Loans,> 10 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_326189,699.1481907005775,261.13718356941524,2020-04-30
Securities firms,Debt securities,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_787297,683.9417068752188,374.73111110131964,2020-04-30
Corporates,Other investments,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_603147,241.5711771854176,55.05427609748136,2020-04-30
Regulatory retail portfolios,Loans,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_364627,1007.4283562474477,152.51171984400617,2020-04-30
Sovereigns and their central banks,Debt securities,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_307432,185.92951757947776,86.84055166168785,2020-04-30
Non-central government public sector entities,Other investments,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_097542,348.1389435909439,55.56899529303489,2020-04-30
Multilateral development banks,Loans,>1y,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_757237,616.0758367245093,144.3719846016752,2020-04-30
Banks,Debt securities,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank filial,transaction_248190,316.9370293108402,175.35743162070207,2020-04-30
